نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي المروج ,جنوبية,4,1,3,249,1,0,1,3,0.0,0,1434000
شقة, حي العارض ,شمالية غربية,3,1,3,199,0,0,1,علوي,0.0,0,980000
شقة, حي النرجس ,غير معروف,3,1,3,145,1,0,1,أرضي,2.0,0,1050000
شقة, حي النرجس ,شمالية,3,1,3,101,1,0,0,أرضي,0.0,1,1200000
شقة, حي الياسمين ,شرقية,4,1,3,147,1,0,1,علوي,2.0,1,1200000
شقة, حي الياسمين ,غير معروف,3,1,2,118,1,0,1,3,0.0,0,850000
شقة, حي النرجس ,شرقية,3,1,3,112,1,0,0,أرضي,0.0,0,885000
شقة, حي النرجس ,شرقية,2,1,3,100,1,0,1,3,0.0,0,1200000
شقة, حي النرجس ,جنوبية شرقية,3,1,3,170,1,0,1,ثالث,0.0,1,930000
شقة, حي العقيق ,غير معروف,3,1,3,115,0,1,1,غير محدد,11.0,0,1100000
شقة, حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0.0,0,1300000
شقة, حي النرجس ,غير معروف,2,2,3,157,1,0,0,أرضي,0.0,0,950000
شقة, حي الملقا ,شمالية غربية,4,1,3,124,1,0,1,علوي,0.0,0,959000
شقة, حي الملقا ,غير معروف,3,1,3,140,0,0,1,علوي,0.0,0,1190000
شقة, حي الملقا ,غير معروف,3,1,3,134,1,0,1,غير محدد,1.0,0,1320000
شقة, حي النرجس ,جنوبية,4,1,3,120,1,0,0,أرضي,0.0,0,850000
شقة, حي النخيل ,ثلاث شوارع,2,1,3,140,0,1,1,علوي,0.0,0,3300000
شقة, حي الملقا ,غير معروف,3,1,3,116,1,1,1,أرضي,2.0,1,1100000
شقة, حي القيروان ,غير معروف,3,1,3,100,1,1,1,أرضي,0.0,0,850000
شقة, حي الياسمين ,غير معروف,3,1,3,112,0,0,0,أرضي,0.0,0,950000
شقة, الرياض ,غير معروف,2,1,3,135,0,0,0,غير محدد,0.0,0,1375000
شقة, حي الصحافة ,غير معروف,2,1,3,142,1,1,1,غير محدد,7.0,0,1980000
شقة, حي الياسمين ,جنوبية,4,1,4,201,1,0,1,علوي,3.0,0,1400000
شقة, حي العارض ,جنوبية شرقية,3,2,3,167,1,1,0,غير محدد,0.0,1,990000
شقة, حي القيروان ,غير معروف,3,2,3,228,1,1,1,علوي,0.0,1,1850000
شقة, حي الملقا ,غربية,3,2,3,178,1,1,1,غير محدد,0.0,0,1499000
شقة, حي القيروان ,شرقية,3,1,3,104,1,1,0,أرضي,0.0,0,1100000
شقة, حي النرجس ,جنوبية,3,1,3,185,1,0,1,علوي,2.0,1,1000000
شقة, حي النرجس ,غير معروف,3,1,2,129,1,0,1,علوي,0.0,0,830000
شقة, حي النفل ,شمالية,3,1,4,131,0,1,1,3,0.0,0,1070000
شقة, حي الملقا ,شرقية,4,1,3,259,0,0,1,3,0.0,0,1450000
شقة, حي الياسمين ,غير معروف,3,1,3,124,0,1,0,أرضي,0.0,0,990000
شقة, حي الملقا ,غير معروف,3,1,3,121,0,0,1,علوي,0.0,0,1249000
شقة, الرياض ,غربية,3,1,4,166,1,0,1,علوي,0.0,1,1190000
شقة, حي النرجس ,غير معروف,4,2,4,155,1,1,1,أرضي,0.0,0,1205000
شقة, حي النرجس ,جنوبية,2,2,3,117,0,0,1,3,0.0,0,899000
شقة, حي النرجس ,جنوبية,3,1,3,137,1,0,0,علوي,1.0,0,850000
شقة, حي حطين ,غير معروف,3,1,3,174,1,0,1,أرضي,0.0,0,1350000
شقة, حي الربيع ,جنوبية,3,2,3,264,1,1,1,4,0.0,0,1800000
شقة, حي العقيق ,جنوبية,3,1,3,139,1,1,1,3,10.0,0,800000
شقة, حي الربيع ,جنوبية,2,1,2,123,1,0,0,ثاني,0.0,0,1379000
شقة, حي النرجس ,شمالية,3,1,3,145,1,0,1,أرضي,2.0,0,1050000
شقة, حي القيروان ,شمالية,4,1,2,199,1,0,0,علوي,0.0,0,1500000
شقة, الرياض ,غير معروف,1,0,4,178,1,0,0,أرضي,2.0,0,1250000
شقة, حي العقيق ,شمالية,4,1,3,220,1,1,1,3,0.0,0,800000
شقة, حي الملقا ,شمالية,3,1,3,150,0,0,0,أرضي,0.0,0,1150000
